filename,count
path_7760.txt,26
path_2292.txt,28
path_7213.txt,22
path_2835.txt,21
path_2886.txt,24
path_3422.txt,22
path_2730.txt,21
path_8292.txt,27
path_5454.txt,32
path_6575.txt,23
path_568.txt,26
path_6514.txt,24
path_4853.txt,20
path_3061.txt,26
path_2301.txt,25
path_7910.txt,31
path_7820.txt,22
path_6679.txt,21
path_2267.txt,31
path_7673.txt,24
path_2091.txt,34
path_8875.txt,19
path_5071.txt,21
path_9982.txt,28
path_6310.txt,30
path_6227.txt,30
path_3408.txt,24
path_9831.txt,27
path_8945.txt,23
path_7686.txt,26
path_9567.txt,36
path_9181.txt,29
path_9930.txt,30
path_4334.txt,27
path_9722.txt,29
path_8369.txt,22
path_7705.txt,23
path_6957.txt,23
path_5584.txt,28
path_3683.txt,38
path_8385.txt,25
path_9562.txt,26
path_7821.txt,30
path_1133.txt,23
path_6303.txt,28
path_5529.txt,25
path_2344.txt,23
path_5243.txt,23
path_3365.txt,27
path_7431.txt,25
path_8783.txt,23
path_7370.txt,26
path_3863.txt,19
path_1937.txt,22
path_6200.txt,23
path_1396.txt,26
path_9947.txt,23
path_8912.txt,20
path_9084.txt,28
path_9213.txt,29
path_4820.txt,27
path_9717.txt,24
path_7787.txt,25
path_2677.txt,21
path_5008.txt,30
path_4492.txt,38
path_3070.txt,19
path_2973.txt,26
path_5912.txt,17
path_7319.txt,25
path_9246.txt,29
path_0.txt,32
path_9759.txt,31
path_3024.txt,24
path_8456.txt,27
path_9855.txt,21
path_7558.txt,20
path_9907.txt,29
path_3526.txt,19
path_1987.txt,23
path_9507.txt,26
path_4312.txt,21
path_3786.txt,26
path_8277.txt,27
path_3949.txt,28
path_2792.txt,22
path_5062.txt,23
path_7165.txt,24
path_8898.txt,38
path_5349.txt,24
path_8198.txt,26
path_9536.txt,30
path_8794.txt,19
path_976.txt,32
path_7657.txt,21
path_2547.txt,20
path_5182.txt,24
path_6567.txt,22
path_5796.txt,32
path_7800.txt,26
path_4845.txt,27
path_1548.txt,26
path_3188.txt,28
path_1406.txt,24
path_945.txt,27
path_1995.txt,28
path_6366.txt,25
path_4405.txt,24
path_5750.txt,24
path_8185.txt,27
path_2624.txt,23
path_5966.txt,23
path_7204.txt,25
path_4289.txt,24
path_766.txt,24
path_2441.txt,29
path_7414.txt,25
path_4094.txt,23
path_8519.txt,30
path_5428.txt,34
path_5265.txt,26
path_4270.txt,27
path_9248.txt,27
path_4144.txt,23
path_6122.txt,21
path_5924.txt,26
path_9688.txt,30
path_6591.txt,26
path_7376.txt,22
path_3839.txt,21
path_3569.txt,27
path_4445.txt,18
path_1953.txt,23
path_7446.txt,27
path_8083.txt,25
path_7956.txt,25
path_3802.txt,35
path_1689.txt,23
path_8539.txt,22
path_2266.txt,26
path_6329.txt,21
path_7117.txt,26
path_759.txt,29
path_4999.txt,22
path_5939.txt,27
path_6937.txt,21
path_5014.txt,26
path_4612.txt,22
path_6817.txt,27
path_7261.txt,33
path_5522.txt,24
path_1005.txt,23
path_2598.txt,27
path_7143.txt,25
path_4605.txt,27
path_6964.txt,28
path_1842.txt,29
path_7314.txt,23
path_3016.txt,32
path_5252.txt,24
path_4606.txt,28
path_5377.txt,31
path_83.txt,28
path_7962.txt,24
path_9355.txt,23
path_8134.txt,29
path_3778.txt,23
path_9303.txt,21
path_9235.txt,26
path_2118.txt,23
path_4037.txt,19
path_7153.txt,31
path_5814.txt,25
path_4324.txt,28
path_9009.txt,25
path_2848.txt,21
path_9822.txt,32
path_9452.txt,31
path_1626.txt,20
path_2671.txt,20
path_9140.txt,29
path_5685.txt,23
path_5499.txt,22
path_6997.txt,32
path_4722.txt,22
path_6007.txt,29
path_2662.txt,27
path_9588.txt,26
path_6142.txt,25
path_4517.txt,23
path_1691.txt,24
path_9959.txt,32
path_7128.txt,27
path_3494.txt,25
path_8376.txt,23
path_7223.txt,28
path_3654.txt,29
path_5132.txt,20
path_9446.txt,23
path_1545.txt,23
path_6220.txt,24
path_8610.txt,22
path_3097.txt,22
path_4964.txt,23
path_2629.txt,24
path_1652.txt,31
path_8635.txt,29
path_4097.txt,33
path_2610.txt,23
path_687.txt,23
path_2128.txt,27
path_4514.txt,23
path_2768.txt,27
path_4410.txt,22
path_4363.txt,25
path_8820.txt,32
path_6699.txt,24
path_9463.txt,21
path_9497.txt,27
path_8969.txt,39
path_8709.txt,24
path_7838.txt,27
path_8698.txt,25
path_7321.txt,33
path_5999.txt,35
path_7569.txt,23
path_6755.txt,29
path_2187.txt,24
path_5467.txt,27
path_468.txt,22
path_8770.txt,26
path_8999.txt,29
path_8900.txt,22
path_9950.txt,25
path_8775.txt,24
path_5152.txt,20
path_4762.txt,24
path_3989.txt,28
path_3319.txt,27
path_7169.txt,25
path_7338.txt,24
path_417.txt,28
path_4618.txt,20
path_6478.txt,24
path_2659.txt,23
path_3970.txt,20
path_1409.txt,26
path_3968.txt,22
path_1387.txt,18
path_2119.txt,26
